DOMAIN,TERM,FREQUENCY
NEGATIVE_VALENCE,anxiety,21523
NEGATIVE_VALENCE,worry,1254
NEGATIVE_VALENCE,avoidance,730
NEGATIVE_VALENCE,anger,610
NEGATIVE_VALENCE,frustration,521
NEGATIVE_VALENCE,threat,212
NEGATIVE_VALENCE,reactivity,169
NEGATIVE_VALENCE,aggression,145
NEGATIVE_VALENCE,rumination,117
NEGATIVE_VALENCE,emotional_reactivity,6
POSITIVE_VALENCE,food,12524
POSITIVE_VALENCE,decision_making,1914
POSITIVE_VALENCE,preference,1593
POSITIVE_VALENCE,avoidance,730
POSITIVE_VALENCE,wanting,686
POSITIVE_VALENCE,feedback,482
POSITIVE_VALENCE,anticipation,394
POSITIVE_VALENCE,reward,39
POSITIVE_VALENCE,valuation,1
COGNITIVE_SYSTEMS,delayed,10103
COGNITIVE_SYSTEMS,maintenance,8790
COGNITIVE_SYSTEMS,performance,4498
COGNITIVE_SYSTEMS,attention,4158
COGNITIVE_SYSTEMS,capacity,1200
COGNITIVE_SYSTEMS,cueing,529
COGNITIVE_SYSTEMS,manipulation,362
COGNITIVE_SYSTEMS,executive_function,218
COGNITIVE_SYSTEMS,interference,157
COGNITIVE_SYSTEMS,processing_speed,153
COGNITIVE_SYSTEMS,working_memory,118
COGNITIVE_SYSTEMS,shortterm_memory,100
COGNITIVE_SYSTEMS,updating,93
COGNITIVE_SYSTEMS,divided_attention,66
COGNITIVE_SYSTEMS,dual_task,48
COGNITIVE_SYSTEMS,selective_attention,44
COGNITIVE_SYSTEMS,sustained_attention,33
COGNITIVE_SYSTEMS,set_shifting,16
COGNITIVE_SYSTEMS,cognitive_process,2
COGNITIVE_SYSTEMS,visual_search,1
SOCIAL_PROCESSES,self,6633
SOCIAL_PROCESSES,eye_contact,3120
SOCIAL_PROCESSES,disposition,1839
SOCIAL_PROCESSES,attitude,1793
SOCIAL_PROCESSES,emotion,1053
SOCIAL_PROCESSES,attachment,266
SOCIAL_PROCESSES,empathy,71
SOCIAL_PROCESSES,mental_state,63
SOCIAL_PROCESSES,stranger,32
SOCIAL_PROCESSES,judging,24
SOCIAL_PROCESSES,emotion_recognition,10
SOCIAL_PROCESSES,imitation,9
SOCIAL_PROCESSES,perspective_taking,6
SOCIAL_PROCESSES,eye_gaze,5
SOCIAL_PROCESSES,mimicry,3
SOCIAL_PROCESSES,understanding_others,2
SOCIAL_PROCESSES,social_context,2
SOCIAL_PROCESSES,affective_state,1
AROUSAL_REGULATION,sleep,36707
AROUSAL_REGULATION,sleepiness,2036
AROUSAL_REGULATION,waking,1300
AROUSAL_REGULATION,arousal,737
AROUSAL_REGULATION,alertness,493
AROUSAL_REGULATION,wake_time,466
AROUSAL_REGULATION,total_sleep_time,412
AROUSAL_REGULATION,sleepwake,402
AROUSAL_REGULATION,sleep_onset,280
AROUSAL_REGULATION,sleep_deprivation,207
AROUSAL_REGULATION,sleep_quality,198
AROUSAL_REGULATION,wakefulness,150
AROUSAL_REGULATION,circadian,131
AROUSAL_REGULATION,circadian_rhythm,78
AROUSAL_REGULATION,vigilance,52
AROUSAL_REGULATION,hrv,22
AROUSAL_REGULATION,memory_retention,6
AROUSAL_REGULATION,sleep_inertia,5
AROUSAL_REGULATION,sleep_spindle,4
AROUSAL_REGULATION,thermoregulation,1
AROUSAL_REGULATION,chronotype,1
SENSORIMOTOR_SYSTEMS,goal,46379
SENSORIMOTOR_SYSTEMS,hand,19353
SENSORIMOTOR_SYSTEMS,thought,15368
SENSORIMOTOR_SYSTEMS,movement,14961
SENSORIMOTOR_SYSTEMS,coordination,13536
SENSORIMOTOR_SYSTEMS,motor,7890
SENSORIMOTOR_SYSTEMS,planning,6276
SENSORIMOTOR_SYSTEMS,performance,4498
SENSORIMOTOR_SYSTEMS,action,2360
SENSORIMOTOR_SYSTEMS,observation,2081
SENSORIMOTOR_SYSTEMS,initiation,1715
SENSORIMOTOR_SYSTEMS,preparation,1203
SENSORIMOTOR_SYSTEMS,motor_control,338
SENSORIMOTOR_SYSTEMS,sensorimotor,315
SENSORIMOTOR_SYSTEMS,inhibition,177
SENSORIMOTOR_SYSTEMS,imagery,82
SENSORIMOTOR_SYSTEMS,execution,62
SENSORIMOTOR_SYSTEMS,motor_activity,34
SENSORIMOTOR_SYSTEMS,motor_planning,27
SENSORIMOTOR_SYSTEMS,motor_action,12
SENSORIMOTOR_SYSTEMS,motor_learning,5
